1371	1096	1145	1107	1158	1654	2183	2366	2541	2696	2834	2926	2507	1559	1327	1574	1477	1101	968	987	1177	1308	1699	1540	1127	1137	1299	1199	1321	1283	1235	1545	2591	3266	2763	2337	2051	1760	1669	1792	1738	1531	1179	934	1212	1345	1389	1637	1845	1861
1298	1099	1182	1034	1380	2019	2327	2287	2336	2433	2550	2534	2303	1507	1257	1378	1216	999	1008	1172	1179	1154	1081	1035	1211	1633	1697	1619	1678	1539	1183	1387	2302	2804	2505	2118	1898	1787	1780	1579	1474	1234	939	865	1039	1197	1252	1416	1669	1749
1385	1056	1173	1068	1537	2112	2128	2140	2086	2114	2158	2076	1781	1350	996	946	990	957	1013	1210	1087	1086	892	924	1324	1828	1860	1777	1880	1834	1506	1251	1491	1877	1722	1605	1517	1483	1500	1205	1194	846	761	818	1024	1016	1195	1264	1547	1742
1386	1184	1169	1062	1462	1951	1913	1835	1760	1687	1562	1453	1448	1280	1048	927	1066	1103	1140	1158	1009	995	947	938	1455	1858	1805	1682	1655	1534	1301	1039	1051	1282	1171	1134	1066	1051	913	914	854	800	831	937	1048	1004	1079	1205	1453	1579
1411	1213	1235	1000	1215	1558	1615	1465	1342	1227	1228	1169	1455	1661	1445	1006	1034	1142	1087	1062	1065	965	957	1020	1646	1833	1838	1605	1493	1297	1016	1198	1512	1616	1319	1162	1091	851	728	893	1040	980	893	993	1023	1097	1126	1196	1416	1571
1628	1313	1261	981	842	1040	1096	1027	1069	1083	1090	1373	1618	1841	1623	1181	1059	1161	1147	1056	1001	1036	896	1130	1744	1900	1774	1559	1434	1460	1296	1700	2063	1843	1568	1457	1285	967	816	1037	1165	1043	1015	990	1085	1062	1084	1316	1382	1424
1708	1367	1134	834	839	989	1145	1126	1175	1182	1422	1445	1555	1553	1509	1119	1006	1218	1164	1098	1074	1028	932	1329	1872	1850	1565	1423	1458	1558	1536	1950	2100	1885	1617	1530	1390	1041	855	1069	1117	977	1005	992	1063	1178	1237	1316	1400	1293
1834	1255	978	873	1164	1408	1364	1452	1313	1329	1337	1389	1352	1398	1327	1009	899	1121	1190	1118	1092	995	953	1488	1885	1820	1440	1318	1368	1377	1532	1924	1946	1723	1507	1426	1328	1078	848	1022	1109	978	1043	1032	1108	1227	1447	1450	1554	1302
1714	1062	998	1282	1506	1591	1418	1396	1402	1298	1327	1208	1223	1252	1083	817	826	1120	1151	1183	1153	965	1248	1651	1955	1733	1461	1251	1055	993	1265	1935	1842	1756	1651	1445	1389	1095	903	1112	1136	1032	1056	1061	1214	1348	1500	1576	1551	1127
1328	1010	1273	1448	1504	1437	1338	1381	1312	1269	1136	1224	1166	1093	865	710	935	1095	1166	1171	1113	1029	1474	2026	2069	1774	1442	1040	940	1018	1271	1725	1936	1785	1626	1508	1444	1122	960	1102	1174	1114	1137	1175	1271	1451	1580	1615	1502	1148
